chinese,italian
脏的,scporco
扔掉,gettare
安心的/平静的,sicuro
订阅,abbonamento
柔软的,morbido
穿verb,indossare
包装,confezione
臭的,puzzo
满的,pieno
气味,odore
她告诉我,lei mi dice
我给他一本书,gli do un libro
她教我意大利语,lei mi insegna l'italiano
我还没有问过她,non le ho ancora chiesto
她给我换了盘子,lei mi hai cambiato il piatto
她问我,lei mi chiede
我问他,gli chiedo
方的,quadrato
圆的,rontondo
你给我电脑，我给你钱,"tu mi dai il computer,io ti do il soldi"
信心,fiducia
使用方便的,pratico
检查,cotrollo
正确的,corretta
表达,espressione
炸裂/爆炸,scoppiare 
会员卡,tessera
历史/故事,storia
蚊子,zanzara 
长大verb,crescere
